Fecha,Ciudad,Tipo_Hospedaje,Precio_Noche_USD,Noches,Precio_Total_USD
2022-06-14,Bangkok,Airbnb,90.91,10,909.1
2023-02-01,Barcelona,Hotel 2 estrellas,65.57,7,458.99
2024-06-17,Dubái,Hotel 3 estrellas,140.99,14,1973.86
2023-03-30,Moscú,Airbnb,158.92,13,2065.96
2022-08-09,Dubái,Hotel 5 estrellas,587.19,14,8220.66
2023-08-10,Ciudad de México,Hotel 2 estrellas,76.07,6,456.42
2023-04-06,Londres,Hotel 2 estrellas,46.96,5,234.8
2022-07-05,Singapur,Hotel 4 estrellas,200.41,8,1603.28
2022-10-25,Ciudad de México,Hotel 3 estrellas,99.52,14,1393.28
2025-04-12,Bangkok,Hostal,46.84,14,655.76
2024-03-14,Sídney,Hotel 3 estrellas,125.79,13,1635.27
2023-03-03,Seúl,Hotel 5 estrellas,777.42,5,3887.1
2025-04-02,Nueva York,Airbnb,115.25,2,230.5
2022-09-03,Dubái,Hotel 3 estrellas,67.76,10,677.6
2022-06-22,Ciudad del Cabo,Hotel 2 estrellas,56.3,4,225.2
2025-04-07,El Cairo,Hostal,19.45,2,38.9
2023-02-12,Nueva York,Airbnb,72.73,2,145.46
2024-10-25,Nueva York,Hotel 5 estrellas,334.04,2,668.08
2025-01-31,Lima,Hotel 3 estrellas,98.18,7,687.26
2022-10-25,París,Hostal,40.59,10,405.9
2023-11-12,Bangkok,Hotel 2 estrellas,69.67,13,905.71
2024-07-06,Bangkok,Hotel 3 estrellas,129.82,10,1298.2
2025-03-20,Praga,Hotel 2 estrellas,69.43,14,972.02
2022-07-02,Buenos Aires,Hotel 2 estrellas,77.85,7,544.95
2024-11-13,Ciudad de México,Hotel 4 estrellas,229.38,5,1146.9
2023-05-27,Praga,Hostal,26.88,8,215.04
2023-05-06,Dubái,Hostal,20.78,6,124.68
2024-07-14,San Francisco,Hotel 2 estrellas,52.4,14,733.6
2024-11-07,Estambul,Hotel 3 estrellas,103.1,14,1443.4
2023-06-24,Estambul,Hotel 5 estrellas,671.49,5,3357.45
2024-03-28,Roma,Hostal,19.19,14,268.66
2024-10-30,Toronto,Airbnb,57.12,14,799.68
2023-07-26,Seúl,Hotel 5 estrellas,686.23,9,6176.07
2023-08-21,Delhi,Hotel 5 estrellas,242.98,7,1700.86
2024-08-11,Barcelona,Hostal,19.03,6,114.18
2024-02-25,Ámsterdam,Airbnb,142.78,1,142.78
2024-12-06,Praga,Airbnb,171.59,11,1887.49
2023-01-30,Río de Janeiro,Hotel 5 estrellas,746.72,9,6720.48
2024-02-27,Sídney,Hostal,39.68,11,436.48
2024-09-10,Sídney,Airbnb,166.62,1,166.62
2024-04-21,Nueva York,Hotel 4 estrellas,230.36,1,230.36
2023-04-20,Berlín,Hotel 4 estrellas,148.47,11,1633.17
2023-12-08,Buenos Aires,Hotel 2 estrellas,73.91,1,73.91
2024-05-12,Ciudad del Cabo,Hotel 4 estrellas,133.82,7,936.74
2023-09-02,Bangkok,Hotel 5 estrellas,572.37,1,572.37
2023-08-11,Moscú,Hotel 5 estrellas,292.56,13,3803.28
2025-01-22,Delhi,Hostal,32.6,5,163.0
2023-11-23,Buenos Aires,Hotel 2 estrellas,79.18,11,870.98
2023-09-27,Ciudad del Cabo,Hotel 5 estrellas,920.29,8,7362.32
2025-04-13,Río de Janeiro,Hotel 5 estrellas,874.09,13,11363.17
2024-05-20,Toronto,Hotel 2 estrellas,74.27,6,445.62
2023-07-14,Seúl,Hotel 2 estrellas,58.61,12,703.32
2023-03-02,Singapur,Hostal,44.2,2,88.4
2022-10-25,Estambul,Airbnb,129.3,13,1680.9
2025-03-23,Nueva York,Hotel 5 estrellas,315.35,4,1261.4
2025-02-05,Lima,Hotel 5 estrellas,363.55,14,5089.7
2023-07-15,Moscú,Hotel 3 estrellas,108.03,9,972.27
2022-06-23,Lima,Airbnb,156.49,5,782.45
2025-03-04,San Francisco,Hotel 2 estrellas,58.07,2,116.14
2024-03-06,Sídney,Hotel 2 estrellas,74.94,11,824.34
2025-03-01,Tokio,Hotel 5 estrellas,714.9,7,5004.3
2023-06-07,Ciudad de México,Hotel 5 estrellas,680.13,5,3400.65
2023-10-06,Moscú,Hostal,18.92,3,56.76
2022-07-31,Berlín,Hotel 5 estrellas,321.8,10,3218.0
2023-05-31,Seúl,Hotel 2 estrellas,53.19,5,265.95
2024-09-05,Moscú,Hotel 3 estrellas,79.87,6,479.22
2023-08-06,Delhi,Airbnb,106.14,1,106.14
2024-11-23,Berlín,Hostal,21.17,8,169.36
2022-06-10,Tokio,Hostal,39.92,9,359.28
2023-09-06,Sídney,Hostal,40.56,10,405.6
2023-03-15,Londres,Hotel 2 estrellas,67.55,8,540.4
2024-11-01,El Cairo,Airbnb,43.7,11,480.7
2024-10-26,Berlín,Hotel 4 estrellas,233.66,9,2102.94
2022-11-06,Ciudad del Cabo,Hotel 5 estrellas,950.6,10,9506.0
2024-03-21,Río de Janeiro,Hotel 4 estrellas,178.45,2,356.9
2022-10-11,Lima,Airbnb,61.44,1,61.44
2023-01-30,Estambul,Hotel 5 estrellas,385.65,4,1542.6
2024-05-02,Tokio,Hotel 5 estrellas,844.78,12,10137.36
2024-07-28,Estambul,Hostal,10.29,3,30.87
2024-03-20,Nueva York,Hostal,41.0,14,574.0
2023-03-28,El Cairo,Hotel 4 estrellas,236.5,2,473.0
2025-04-18,Roma,Hotel 4 estrellas,163.97,12,1967.64
2023-01-04,Roma,Hotel 2 estrellas,66.28,10,662.8
2024-06-11,San Francisco,Airbnb,61.64,4,246.56
2023-06-15,Roma,Airbnb,54.98,6,329.88
2023-09-09,Singapur,Hostal,27.83,4,111.32
2024-05-17,San Francisco,Hotel 3 estrellas,121.82,6,730.92
2023-10-20,Praga,Hostal,37.72,2,75.44
2022-08-04,Estambul,Hostal,26.72,1,26.72
2022-09-19,Singapur,Hotel 5 estrellas,429.13,13,5578.69
2023-05-15,Seúl,Hotel 2 estrellas,60.12,4,240.48
2025-04-15,Roma,Hotel 2 estrellas,68.13,10,681.3
2024-08-01,Ciudad del Cabo,Hotel 2 estrellas,76.64,11,843.04
2024-04-22,Tokio,Hotel 3 estrellas,63.35,13,823.55
2023-02-07,Estambul,Hostal,22.38,11,246.18
2022-12-19,Moscú,Hotel 5 estrellas,460.03,13,5980.39
2024-08-09,Dubái,Hostal,35.56,1,35.56
2022-09-20,Londres,Hotel 2 estrellas,72.55,4,290.2
2024-07-01,Praga,Hotel 4 estrellas,150.42,13,1955.46
2024-01-06,Dubái,Hotel 2 estrellas,62.17,9,559.53
2025-03-19,Ciudad de México,Hotel 4 estrellas,117.76,6,706.56
2024-02-06,Seúl,Hotel 4 estrellas,106.07,1,106.07
2023-07-04,Tokio,Hotel 3 estrellas,89.34,14,1250.76
2022-09-20,Buenos Aires,Hotel 5 estrellas,883.44,12,10601.28
2022-08-22,Ámsterdam,Hotel 5 estrellas,733.44,14,10268.16
2025-04-04,Estambul,Hotel 2 estrellas,76.71,8,613.68
2024-10-21,Bangkok,Hotel 3 estrellas,75.11,2,150.22
2023-02-02,Barcelona,Hotel 3 estrellas,107.29,6,643.74
2023-08-22,Ámsterdam,Hotel 3 estrellas,66.57,2,133.14
2025-04-28,El Cairo,Airbnb,35.84,9,322.56
2022-07-18,San Francisco,Airbnb,163.2,13,2121.6
2024-11-19,Londres,Hotel 5 estrellas,246.99,12,2963.88
2024-02-13,Bangkok,Hotel 2 estrellas,55.7,12,668.4
2024-02-28,Toronto,Hotel 5 estrellas,341.64,3,1024.92
2023-03-05,Dubái,Hotel 2 estrellas,54.95,9,494.55
2023-02-22,Sídney,Hostal,38.33,5,191.65
