Fecha,Origen,Destino,Distancia_km,Precio_USD,Clase
2022-02-21,HND (Tokio),LAX (Los Ángeles),8799,4929.57,2
2023-06-12,LAX (Los Ángeles),SIN (Singapur),9305,991.71,0
2023-01-20,FRA (Frankfurt),DXB (Dubái),14336,1581.18,0
2024-04-05,ORD (Chicago),DEL (Delhi),10270,984.16,0
2021-09-21,LAX (Los Ángeles),DXB (Dubái),12980,1237.39,0
2023-05-25,JFK (Nueva York),GRU (São Paulo),12322,1299.56,0
2023-01-01,HND (Tokio),DOH (Doha),10464,1064.37,0
2025-04-17,NRT (Tokio),ATL (Atlanta),9680,1088.02,0
2020-08-29,DOH (Doha),DXB (Dubái),4363,418.03,0
2022-01-18,DXB (Dubái),ATL (Atlanta),11404,5526.05,2
2021-12-16,PEK (Pekín),SYD (Sídney),9195,984.95,0
2024-08-11,HND (Tokio),GRU (São Paulo),11470,1281.66,0
2024-11-13,PVG (Shanghái),HND (Tokio),13080,1245.66,0
2023-05-01,LAX (Los Ángeles),SIN (Singapur),14314,1594.34,0
2022-12-03,DOH (Doha),CDG (París),14842,1517.7,0
2023-03-22,SYD (Sídney),SIN (Singapur),2608,251.46,0
2022-10-23,MAD (Madrid),LHR (Londres),11085,1124.83,0
2022-04-08,GRU (São Paulo),HND (Tokio),11216,1222.2,0
2021-07-25,PEK (Pekín),EZE (Buenos Aires),10187,974.95,0
2023-09-23,LAX (Los Ángeles),DOH (Doha),13027,1390.91,0
2024-02-02,PVG (Shanghái),MAD (Madrid),12459,1184.2,0
2020-07-15,LHR (Londres),PEK (Pekín),8487,4182.38,2
2021-12-31,CDG (París),DOH (Doha),11494,1229.38,0
2023-05-11,JFK (Nueva York),DOH (Doha),11608,3299.67,1
2020-10-29,DOH (Doha),PVG (Shanghái),11466,1278.07,0
2024-06-12,LAX (Los Ángeles),LHR (Londres),6125,606.35,0
2024-09-12,LAX (Los Ángeles),NRT (Tokio),14132,1622.06,0
2024-10-13,GRU (São Paulo),DOH (Doha),13107,1487.68,0
2025-03-03,CDG (París),FRA (Frankfurt),8073,814.82,0
2023-05-10,FRA (Frankfurt),HND (Tokio),11781,1284.15,0
2021-10-23,MAD (Madrid),SYD (Sídney),14638,8163.26,2
2021-08-24,EZE (Buenos Aires),PEK (Pekín),9645,1021.88,0
2021-10-12,PVG (Shanghái),LAX (Los Ángeles),12459,1324.85,0
2024-10-29,HND (Tokio),DEL (Delhi),8210,843.21,0
2024-07-22,ORD (Chicago),SYD (Sídney),10922,1201.76,0
2022-03-09,PEK (Pekín),NRT (Tokio),14030,1493.39,0
2020-12-30,ORD (Chicago),LAX (Los Ángeles),12521,1327.7,0
2021-08-31,DXB (Dubái),HND (Tokio),8795,4850.56,2
2021-08-05,PVG (Shanghái),SIN (Singapur),4199,420.65,0
2021-09-16,ATL (Atlanta),LAX (Los Ángeles),13705,7475.73,2
2020-11-17,SIN (Singapur),DXB (Dubái),8200,2293.43,1
2022-06-26,CPT (Ciudad del Cabo),SYD (Sídney),11888,1239.82,0
2020-10-08,CDG (París),LAX (Los Ángeles),11940,3328.06,1
2022-12-24,DEL (Delhi),NRT (Tokio),9129,2529.86,1
2024-10-18,DEL (Delhi),FRA (Frankfurt),11492,1255.59,0
2022-02-03,DXB (Dubái),MAD (Madrid),11465,1242.11,0
2022-04-11,ORD (Chicago),CDG (París),9682,2713.42,1
2022-01-21,LHR (Londres),EZE (Buenos Aires),13692,1530.38,0
2022-01-22,SIN (Singapur),FRA (Frankfurt),13637,1392.84,0
2022-10-09,NRT (Tokio),DEL (Delhi),11791,3116.92,1
2021-04-15,SIN (Singapur),MAD (Madrid),11649,1109.61,0
2021-06-21,CPT (Ciudad del Cabo),HND (Tokio),14794,3826.6,1
2020-07-02,DEL (Delhi),MAD (Madrid),12950,1486.61,0
2024-05-30,DEL (Delhi),LAX (Los Ángeles),12061,1307.86,0
2023-12-14,NRT (Tokio),PVG (Shanghái),12591,6474.48,2
2023-02-03,EZE (Buenos Aires),ORD (Chicago),9256,1045.63,0
2024-01-15,ORD (Chicago),MAD (Madrid),12122,2935.29,1
2024-10-02,LAX (Los Ángeles),SIN (Singapur),9134,1029.74,0
2023-08-16,PVG (Shanghái),SYD (Sídney),3578,366.23,0
2023-05-13,CPT (Ciudad del Cabo),NRT (Tokio),10887,1251.27,0
2025-04-26,DEL (Delhi),MAD (Madrid),10218,1019.37,0
2022-07-01,EZE (Buenos Aires),DEL (Delhi),11924,6325.56,2
2021-05-29,HND (Tokio),LAX (Los Ángeles),9223,908.34,0
2022-05-06,SIN (Singapur),LAX (Los Ángeles),13908,1458.3,0
2022-07-25,SYD (Sídney),HND (Tokio),11232,1269.71,0
2024-07-07,JFK (Nueva York),ORD (Chicago),9178,992.97,0
2020-10-17,SIN (Singapur),CPT (Ciudad del Cabo),10769,2742.79,1
2020-12-29,HND (Tokio),MAD (Madrid),10109,1044.26,0
2023-09-09,GRU (São Paulo),ORD (Chicago),12119,3067.14,1
2020-07-15,FRA (Frankfurt),CDG (París),9483,1027.1,0
2021-07-28,PEK (Pekín),DOH (Doha),10394,1112.8,0
2024-05-24,LAX (Los Ángeles),HND (Tokio),8709,833.34,0
2022-02-22,GRU (São Paulo),DOH (Doha),9362,1074.37,0
2020-12-11,LAX (Los Ángeles),JFK (Nueva York),13212,1446.37,0
2022-11-08,ATL (Atlanta),SYD (Sídney),12038,3011.08,1
2020-11-07,LAX (Los Ángeles),HND (Tokio),9661,1071.64,0
2021-06-09,EZE (Buenos Aires),JFK (Nueva York),11544,6039.62,2
2021-04-12,ORD (Chicago),DOH (Doha),8928,962.49,0
2024-06-01,LAX (Los Ángeles),DXB (Dubái),8046,838.92,0
2022-03-14,CDG (París),JFK (Nueva York),14267,1412.56,0
2024-01-19,LAX (Los Ángeles),GRU (São Paulo),9163,1022.25,0
2023-07-07,ORD (Chicago),LHR (Londres),13733,3691.88,1
2024-07-18,CPT (Ciudad del Cabo),GRU (São Paulo),11494,6582.11,2
2024-04-02,FRA (Frankfurt),CPT (Ciudad del Cabo),12833,1449.29,0
2022-10-01,GRU (São Paulo),LAX (Los Ángeles),14505,1541.34,0
2022-07-03,DXB (Dubái),PVG (Shanghái),11945,1299.0,0
2024-01-07,CDG (París),LAX (Los Ángeles),9613,1094.95,0
2020-10-01,HND (Tokio),ATL (Atlanta),12364,3517.63,1
2023-01-07,SIN (Singapur),NRT (Tokio),13085,1478.44,0
2023-12-15,MAD (Madrid),FRA (Frankfurt),9282,938.12,0
2024-01-01,SIN (Singapur),ATL (Atlanta),14396,1459.24,0
2022-09-12,GRU (São Paulo),LHR (Londres),13184,7561.3,2
2023-10-23,ATL (Atlanta),DEL (Delhi),14118,1561.6,0
2024-08-02,NRT (Tokio),CPT (Ciudad del Cabo),12940,1403.17,0
2020-11-22,CPT (Ciudad del Cabo),ORD (Chicago),4099,1114.9,1
2023-10-13,CPT (Ciudad del Cabo),NRT (Tokio),13190,6403.96,2
2021-04-30,NRT (Tokio),SIN (Singapur),10463,1170.41,0
2021-03-05,SYD (Sídney),PEK (Pekín),8982,4551.44,2
2022-03-15,SYD (Sídney),LAX (Los Ángeles),12830,1451.8,0
2022-05-28,LAX (Los Ángeles),CDG (París),13861,1407.16,0
2024-08-06,FRA (Frankfurt),LHR (Londres),10028,980.74,0
2024-12-21,NRT (Tokio),EZE (Buenos Aires),11214,1279.14,0
2021-01-10,FRA (Frankfurt),SYD (Sídney),12546,1241.93,0
2021-01-24,JFK (Nueva York),SYD (Sídney),14160,4054.54,1
2025-03-19,PVG (Shanghái),SYD (Sídney),3070,332.63,0
2022-10-19,EZE (Buenos Aires),NRT (Tokio),8406,952.44,0
2022-06-13,LAX (Los Ángeles),DXB (Dubái),10729,2696.43,1
2024-10-02,HND (Tokio),DXB (Dubái),9418,5235.72,2
2021-03-25,GRU (São Paulo),LAX (Los Ángeles),12729,1311.8,0
2020-09-24,SIN (Singapur),NRT (Tokio),8401,885.25,0
2022-12-11,SIN (Singapur),PVG (Shanghái),5915,587.51,0
2024-07-01,HND (Tokio),LAX (Los Ángeles),12656,1304.2,0
2022-01-09,PEK (Pekín),GRU (São Paulo),14896,7319.57,2
2025-02-18,DXB (Dubái),SYD (Sídney),8077,891.25,0
2021-10-06,FRA (Frankfurt),PVG (Shanghái),12677,1411.43,0
2024-12-24,ORD (Chicago),CDG (París),9689,948.09,0
2023-11-13,GRU (São Paulo),SIN (Singapur),3048,297.03,0
2020-07-09,LAX (Los Ángeles),HND (Tokio),14253,1382.64,0
2023-10-11,HND (Tokio),GRU (São Paulo),10388,1149.84,0
2023-03-11,LAX (Los Ángeles),PEK (Pekín),10470,1115.0,0
2024-08-25,FRA (Frankfurt),NRT (Tokio),9197,922.42,0
2025-04-16,SYD (Sídney),JFK (Nueva York),9101,1041.34,0
2021-11-18,MAD (Madrid),LAX (Los Ángeles),10798,1030.68,0
2025-02-13,DXB (Dubái),MAD (Madrid),11841,1339.66,0
2020-07-15,SIN (Singapur),SYD (Sídney),2185,535.41,1
2020-06-22,FRA (Frankfurt),CPT (Ciudad del Cabo),13337,3341.4,1
2023-10-09,LAX (Los Ángeles),HND (Tokio),9085,4525.93,2
2022-06-11,MAD (Madrid),FRA (Frankfurt),12941,6921.67,2
2020-08-22,LAX (Los Ángeles),PVG (Shanghái),11632,1252.61,0
2022-08-10,FRA (Frankfurt),LAX (Los Ángeles),8933,1001.26,0
2024-04-06,SYD (Sídney),DOH (Doha),13338,1312.18,0
2021-09-01,LHR (Londres),LAX (Los Ángeles),5506,600.71,0
2023-04-10,LHR (Londres),LAX (Los Ángeles),6293,606.0,0
2023-05-05,PVG (Shanghái),ORD (Chicago),14834,1418.19,0
2024-01-24,HND (Tokio),ORD (Chicago),10312,5079.91,2
2024-06-07,SIN (Singapur),JFK (Nueva York),8994,1031.89,0
2023-06-15,ORD (Chicago),DEL (Delhi),12113,1313.93,0
2023-11-10,PEK (Pekín),DEL (Delhi),9083,2159.21,1
2020-10-06,JFK (Nueva York),NRT (Tokio),9550,1040.03,0
2022-04-05,EZE (Buenos Aires),PEK (Pekín),13344,1413.16,0
2025-01-21,LAX (Los Ángeles),CPT (Ciudad del Cabo),13627,1533.67,0
2023-09-08,PEK (Pekín),EZE (Buenos Aires),14376,1546.03,0
2022-06-25,CPT (Ciudad del Cabo),DEL (Delhi),14459,1548.81,0
2024-09-01,DOH (Doha),EZE (Buenos Aires),9106,865.32,0
2021-09-14,ORD (Chicago),DEL (Delhi),12948,1438.87,0
2024-11-16,FRA (Frankfurt),ATL (Atlanta),11724,1145.19,0
2022-07-15,ORD (Chicago),CDG (París),14724,4062.52,1
2022-10-11,GRU (São Paulo),LHR (Londres),11654,1236.99,0
2023-12-16,ATL (Atlanta),HND (Tokio),10224,1114.99,0
2023-06-19,GRU (São Paulo),SIN (Singapur),2359,251.77,0
2022-09-21,CDG (París),SYD (Sídney),8475,866.01,0
2021-04-13,PEK (Pekín),LAX (Los Ángeles),14602,1495.04,0
2023-11-14,FRA (Frankfurt),PVG (Shanghái),9621,943.18,0
2024-06-07,EZE (Buenos Aires),LHR (Londres),12608,1368.06,0
2023-10-28,JFK (Nueva York),FRA (Frankfurt),9961,1023.22,0
2020-12-30,SYD (Sídney),DXB (Dubái),9783,944.74,0
2022-02-23,CDG (París),EZE (Buenos Aires),8149,818.65,0
2024-04-01,DXB (Dubái),MAD (Madrid),14781,1655.52,0
2021-10-23,FRA (Frankfurt),MAD (Madrid),12228,1265.9,0
2022-06-17,CDG (París),EZE (Buenos Aires),8564,978.82,0
2020-07-17,ATL (Atlanta),SIN (Singapur),13187,3321.96,1
2022-09-29,LAX (Los Ángeles),FRA (Frankfurt),12654,1206.41,0
2023-01-11,EZE (Buenos Aires),JFK (Nueva York),9607,979.27,0
2023-09-14,LAX (Los Ángeles),DXB (Dubái),11359,1217.46,0
2022-12-02,LHR (Londres),JFK (Nueva York),11003,1102.95,0
2020-06-17,SYD (Sídney),GRU (São Paulo),2246,560.46,1
2021-12-02,HND (Tokio),PVG (Shanghái),9636,1004.85,0
2024-01-15,CPT (Ciudad del Cabo),PVG (Shanghái),9402,1004.37,0
2021-12-25,LHR (Londres),DEL (Delhi),10816,1219.31,0
2024-12-21,SIN (Singapur),JFK (Nueva York),9080,909.8,0
2022-10-28,ATL (Atlanta),PVG (Shanghái),11388,3033.9,1
2024-06-20,GRU (São Paulo),HND (Tokio),9387,985.17,0
2023-11-07,SYD (Sídney),HND (Tokio),9353,901.22,0
2020-07-08,PEK (Pekín),SIN (Singapur),9084,2185.47,1
2022-03-12,DOH (Doha),LHR (Londres),14372,1431.23,0
2024-02-17,ATL (Atlanta),MAD (Madrid),11156,1176.8,0
2024-09-22,CPT (Ciudad del Cabo),ATL (Atlanta),11047,1228.39,0
2020-08-30,CDG (París),LAX (Los Ángeles),14096,3708.98,1
2023-05-16,NRT (Tokio),LHR (Londres),13990,3323.25,1
2023-11-05,CDG (París),EZE (Buenos Aires),12438,1337.08,0
2024-09-05,MAD (Madrid),LAX (Los Ángeles),13580,3694.17,1
2023-05-09,MAD (Madrid),JFK (Nueva York),12095,3314.67,1
2022-03-23,DXB (Dubái),FRA (Frankfurt),13912,1571.48,0
2023-10-09,DOH (Doha),PEK (Pekín),11857,3171.52,1
2021-04-07,DOH (Doha),MAD (Madrid),8286,4105.42,2
2021-11-02,DOH (Doha),HND (Tokio),8513,957.06,0
2024-06-14,DOH (Doha),LHR (Londres),12553,3035.53,1
2025-02-18,GRU (São Paulo),HND (Tokio),11130,3020.36,1
2020-10-21,SYD (Sídney),ORD (Chicago),11858,3073.35,1
2024-09-09,JFK (Nueva York),FRA (Frankfurt),10008,974.96,0
2025-01-21,EZE (Buenos Aires),CPT (Ciudad del Cabo),13919,1536.86,0
2023-07-31,HND (Tokio),FRA (Frankfurt),8729,871.12,0
2023-04-09,CPT (Ciudad del Cabo),ORD (Chicago),7483,860.33,0
2021-08-14,MAD (Madrid),SYD (Sídney),13473,1295.95,0
2024-11-03,GRU (São Paulo),LHR (Londres),11008,1056.72,0
2022-07-24,ORD (Chicago),PVG (Shanghái),12249,3474.48,1
2021-05-22,PVG (Shanghái),MAD (Madrid),13905,3605.12,1
2024-01-04,ORD (Chicago),CDG (París),12267,1316.75,0
2020-07-09,DXB (Dubái),LAX (Los Ángeles),11051,1222.16,0
2021-07-18,FRA (Frankfurt),PVG (Shanghái),10243,1169.75,0
2023-12-10,DOH (Doha),SYD (Sídney),9574,1033.57,0
2025-01-10,JFK (Nueva York),PEK (Pekín),8090,923.0,0
2024-10-29,SYD (Sídney),EZE (Buenos Aires),8600,2055.39,1
2024-06-21,DXB (Dubái),LAX (Los Ángeles),13429,1544.2,0
2024-03-17,CDG (París),NRT (Tokio),12247,3006.18,1
2022-06-29,EZE (Buenos Aires),CDG (París),13252,1454.07,0
2022-11-01,LHR (Londres),MAD (Madrid),9738,1023.5,0
2023-06-04,CPT (Ciudad del Cabo),SIN (Singapur),12137,3370.68,1
2025-02-19,JFK (Nueva York),CDG (París),8018,3993.92,2
2024-08-09,GRU (São Paulo),EZE (Buenos Aires),8872,926.43,0
2020-12-08,DXB (Dubái),FRA (Frankfurt),10568,1055.03,0
2024-02-07,GRU (São Paulo),EZE (Buenos Aires),8254,879.78,0
2025-01-27,SYD (Sídney),GRU (São Paulo),6365,3289.12,2
2020-11-03,ATL (Atlanta),LHR (Londres),11082,5462.75,2
2024-08-04,DOH (Doha),EZE (Buenos Aires),13931,1510.21,0
2024-12-16,ATL (Atlanta),CDG (París),14035,3616.72,1
2024-06-29,PEK (Pekín),LHR (Londres),12257,1261.31,0
2021-06-04,NRT (Tokio),DEL (Delhi),14983,1612.33,0
2023-08-18,JFK (Nueva York),DOH (Doha),14364,1377.63,0
2023-03-14,EZE (Buenos Aires),PVG (Shanghái),14848,1493.57,0
2022-07-20,ATL (Atlanta),GRU (São Paulo),11199,2701.01,1
2023-01-26,SIN (Singapur),JFK (Nueva York),10883,1092.69,0
2023-03-04,DOH (Doha),CDG (París),13457,3461.46,1
2021-05-18,FRA (Frankfurt),NRT (Tokio),13372,1371.63,0
2022-09-12,EZE (Buenos Aires),PVG (Shanghái),12011,3153.58,1
2022-05-05,NRT (Tokio),SIN (Singapur),10073,2480.94,1
2024-01-08,HND (Tokio),DEL (Delhi),14038,1429.21,0
2023-07-29,SIN (Singapur),EZE (Buenos Aires),11766,1264.27,0
2022-01-11,GRU (São Paulo),CDG (París),13166,1463.69,0
2022-05-30,DEL (Delhi),CPT (Ciudad del Cabo),10258,1054.18,0
2021-10-31,CPT (Ciudad del Cabo),LHR (Londres),9218,1007.52,0
2024-10-04,HND (Tokio),LAX (Los Ángeles),12190,1288.79,0
2024-04-22,FRA (Frankfurt),GRU (São Paulo),12717,6168.06,2
2024-06-21,SIN (Singapur),SYD (Sídney),2436,599.98,1
2021-02-24,LHR (Londres),CDG (París),12911,1259.58,0
2022-02-18,DOH (Doha),MAD (Madrid),10618,1111.82,0
2025-02-06,CPT (Ciudad del Cabo),LAX (Los Ángeles),12732,1233.18,0
2020-10-03,LAX (Los Ángeles),DXB (Dubái),13491,6412.41,2
2024-06-07,PVG (Shanghái),LAX (Los Ángeles),13928,1514.83,0
2023-03-24,FRA (Frankfurt),ATL (Atlanta),11651,1157.56,0
2025-01-01,LAX (Los Ángeles),SYD (Sídney),10330,5353.02,2
2022-06-26,CPT (Ciudad del Cabo),GRU (São Paulo),14866,8061.36,2
2024-12-28,LAX (Los Ángeles),SIN (Singapur),8948,970.44,0
2021-06-11,DEL (Delhi),FRA (Frankfurt),14694,1411.91,0
2022-06-03,HND (Tokio),SYD (Sídney),11390,6335.74,2
2025-01-24,MAD (Madrid),PVG (Shanghái),12110,1381.95,0
2021-07-02,EZE (Buenos Aires),MAD (Madrid),10502,2606.75,1
2021-08-21,LHR (Londres),LAX (Los Ángeles),4465,510.54,0
2024-12-16,PEK (Pekín),DXB (Dubái),12117,1347.81,0
2021-02-25,DOH (Doha),PVG (Shanghái),8525,908.75,0
2024-02-17,MAD (Madrid),DEL (Delhi),10416,2930.34,1
2024-01-13,FRA (Frankfurt),EZE (Buenos Aires),12668,1449.17,0
2020-07-20,ORD (Chicago),PEK (Pekín),10674,2575.2,1
2021-10-17,DXB (Dubái),SYD (Sídney),8971,956.34,0
2023-06-12,ORD (Chicago),CDG (París),11314,1216.84,0
2023-05-19,LHR (Londres),LAX (Los Ángeles),4956,533.69,0
2023-07-13,HND (Tokio),MAD (Madrid),9238,1051.41,0
2024-09-23,SYD (Sídney),CDG (París),11849,1329.63,0
2021-06-16,NRT (Tokio),PVG (Shanghái),9389,979.46,0
2022-09-28,HND (Tokio),CPT (Ciudad del Cabo),14400,1639.77,0
2024-11-09,FRA (Frankfurt),DOH (Doha),11611,1215.33,0
2023-11-16,JFK (Nueva York),LHR (Londres),12719,1336.37,0
2023-06-23,DXB (Dubái),JFK (Nueva York),13641,1517.5,0
2023-12-11,MAD (Madrid),ORD (Chicago),9130,1012.05,0
2024-03-23,LHR (Londres),PVG (Shanghái),8812,853.08,0
2022-11-13,EZE (Buenos Aires),PEK (Pekín),14749,1559.74,0
2023-01-27,SYD (Sídney),DXB (Dubái),13126,1334.04,0
2021-03-12,MAD (Madrid),LAX (Los Ángeles),12955,3256.18,1
2023-02-24,SYD (Sídney),PVG (Shanghái),1950,467.49,1
2022-06-19,DOH (Doha),PEK (Pekín),8891,1007.31,0
2022-07-05,CDG (París),PEK (Pekín),3491,393.94,0
2023-05-11,CPT (Ciudad del Cabo),ORD (Chicago),4053,1150.1,1
2021-05-31,GRU (São Paulo),JFK (Nueva York),8366,2117.79,1
2021-07-28,EZE (Buenos Aires),LHR (Londres),10499,1107.04,0
2020-06-11,PVG (Shanghái),NRT (Tokio),14414,1392.42,0
2022-12-15,SIN (Singapur),FRA (Frankfurt),11614,1135.04,0
2025-02-01,NRT (Tokio),SIN (Singapur),14994,1654.87,0
2021-02-22,LAX (Los Ángeles),CPT (Ciudad del Cabo),13321,3234.02,1
2022-10-17,EZE (Buenos Aires),GRU (São Paulo),13964,1353.85,0
2025-04-20,JFK (Nueva York),DEL (Delhi),13017,1239.56,0
2023-08-23,SYD (Sídney),JFK (Nueva York),9942,1080.31,0
2020-09-18,SIN (Singapur),ATL (Atlanta),11973,1325.78,0
2021-04-02,JFK (Nueva York),FRA (Frankfurt),14616,1623.9,0
2023-12-26,GRU (São Paulo),DXB (Dubái),12041,3196.27,1
2023-10-24,LHR (Londres),MAD (Madrid),10785,1181.13,0
2024-01-03,CPT (Ciudad del Cabo),ATL (Atlanta),11397,2911.62,1
2024-04-28,PVG (Shanghái),ORD (Chicago),11895,2864.23,1
2021-05-24,JFK (Nueva York),DEL (Delhi),10264,5095.87,2
2020-09-05,DXB (Dubái),GRU (São Paulo),10942,3044.59,1
2021-06-08,JFK (Nueva York),ORD (Chicago),8320,2027.83,1
2020-11-23,MAD (Madrid),HND (Tokio),9375,1048.16,0
2024-01-31,FRA (Frankfurt),NRT (Tokio),12015,1144.3,0
2021-10-27,EZE (Buenos Aires),NRT (Tokio),11481,1256.1,0
2020-09-06,CDG (París),FRA (Frankfurt),14307,3476.69,1
2022-04-13,LHR (Londres),NRT (Tokio),14477,1540.82,0
2021-06-28,SIN (Singapur),CPT (Ciudad del Cabo),13624,1317.38,0
2020-11-04,CDG (París),SYD (Sídney),14383,1511.4,0
2024-09-26,ATL (Atlanta),EZE (Buenos Aires),13624,1531.08,0
2021-07-22,JFK (Nueva York),GRU (São Paulo),12213,1294.75,0
2020-07-30,NRT (Tokio),ORD (Chicago),12973,1361.12,0
2022-08-13,SYD (Sídney),FRA (Frankfurt),14693,1506.45,0
2025-01-27,ORD (Chicago),ATL (Atlanta),13697,7091.23,2
2024-10-18,GRU (São Paulo),DOH (Doha),10069,2738.65,1
2024-01-02,SYD (Sídney),SIN (Singapur),1176,280.06,1
2022-07-19,ATL (Atlanta),MAD (Madrid),12775,1275.79,0
2020-11-25,SIN (Singapur),LAX (Los Ángeles),13306,1500.66,0
2024-03-10,FRA (Frankfurt),CPT (Ciudad del Cabo),13763,1422.46,0
2020-10-08,PEK (Pekín),PVG (Shanghái),14761,1403.44,0
2022-02-13,PEK (Pekín),MAD (Madrid),14244,1543.01,0
2021-07-22,GRU (São Paulo),SYD (Sídney),6661,1872.86,1
2024-02-11,PVG (Shanghái),EZE (Buenos Aires),10684,5277.76,2
2022-10-21,DXB (Dubái),CPT (Ciudad del Cabo),13002,1336.51,0
2024-04-10,ORD (Chicago),SIN (Singapur),12838,3219.83,1
2021-05-24,PEK (Pekín),JFK (Nueva York),11224,1184.52,0
2023-03-01,HND (Tokio),PEK (Pekín),13837,7816.41,2
2023-06-29,LHR (Londres),DOH (Doha),9210,902.64,0
2021-02-12,DOH (Doha),JFK (Nueva York),10233,5645.37,2
2022-06-20,FRA (Frankfurt),GRU (São Paulo),9250,2216.83,1
2024-03-27,LHR (Londres),JFK (Nueva York),8469,4146.36,2
2021-07-10,LAX (Los Ángeles),NRT (Tokio),13645,1327.72,0
2023-04-09,JFK (Nueva York),ORD (Chicago),13660,1451.65,0
2023-01-06,LAX (Los Ángeles),CDG (París),10671,1031.2,0
2024-08-17,SIN (Singapur),FRA (Frankfurt),14300,3669.6,1
